iter	RMSE
0	0.09263158617
1	0.0925305773
2	0.09245342225
3	0.09237490928
4	0.09230587052
5	0.09223025606
6	0.0921415475
7	0.09204810295
8	0.09198059396
9	0.09192762284
10	0.09185879073
11	0.09178188587
12	0.09170818728
13	0.09163641081
14	0.09157666099
15	0.09152578048
16	0.09145126559
17	0.09138224886
18	0.09131372173
19	0.091266887
20	0.09121082325
21	0.09114368728
22	0.09110439453
23	0.09103148539
24	0.09098765004
25	0.09093651914
26	0.09090647816
27	0.09085426097
28	0.09079886247
29	0.09075230572
30	0.09070917184
31	0.09065296393
32	0.09059527433
33	0.09055051948
34	0.09050152182
35	0.0904519592
36	0.09040092994
37	0.09035656737
38	0.09031496369
39	0.09027041469
40	0.09023439632
41	0.0901923829
42	0.09015049779
43	0.09011475441
44	0.09006664286
45	0.09003161505
46	0.08999227877
47	0.08995294243
48	0.08991464048
49	0.08987876759
50	0.08984347851
51	0.08980293571
52	0.08977045117
53	0.08973411332
54	0.08970147005
55	0.08967061963
56	0.08963027332
57	0.08958999499
58	0.08956229412
59	0.08952861431
60	0.08949067583
61	0.0894482085
62	0.08941459335
63	0.08935799038
64	0.08932900537
65	0.08929260227
66	0.08926822293
67	0.08923799265
68	0.08920574879
69	0.08917031373
70	0.0891342579
71	0.08910203483
72	0.08907916037
73	0.08904372613
74	0.08900365553
75	0.08896911899
76	0.08894281341
77	0.08890657592
78	0.08889120268
79	0.08885826605
80	0.08881767769
81	0.08879026322
82	0.08874945235
83	0.08872493871
84	0.08868169975
85	0.08864399523
86	0.08860965029
87	0.08857539568
88	0.08855150133
89	0.08852535236
90	0.08850190332
91	0.08846706832
92	0.08843771967
93	0.08841432036
94	0.08836967516
95	0.08834708721
96	0.08832686118
97	0.08830144453
98	0.08827545757
99	0.08825365609
100	0.08822144217
101	0.08819262646
102	0.0881739689
103	0.08814655058
104	0.08812420921
105	0.08809558586
106	0.08806329659
107	0.08803029471
108	0.08801857276
109	0.08799741391
110	0.08797579382
111	0.08795373381
112	0.08792317938
113	0.08789913598
114	0.08787912803
115	0.08785274312
116	0.08782669055
117	0.08780775881
118	0.08778154721
119	0.08776439017
120	0.08774193219
121	0.08771730608
122	0.08769987396
123	0.087675006
124	0.0876560108
125	0.08763677424
126	0.08761126932
127	0.08759357884
128	0.08756935269
129	0.08756066844
130	0.08753965852
131	0.08751070736
132	0.08749170632
133	0.08747377863
134	0.08744690174
135	0.08743336122
136	0.0874104089
137	0.08738617617
138	0.08736990244
139	0.0873595723
140	0.08734492628
141	0.08732113242
142	0.08731214766
143	0.08728844895
144	0.08726428142
145	0.08724419657
146	0.08722298066
147	0.08720338633
